id,view_count,rating_count,upvote_count,share_count,comment_count
1164,2,8,1,2,3
1163,2,8,1,2,3
1162,1,8,3,2,3
1161,2,8,1,2,3
1160,1,8,1,2,3
1159,17,8,3,2,3
1158,17,8,3,2,3
1157,17,8,3,2,3
1156,17,8,3,2,3
1155,1,8,3,2,3
1154,1,8,3,2,3
1153,5,8,1,2,3
1152,2,8,3,2,3
1151,4,1,3,2,3
1150,2,8,3,2,3
1149,3,8,3,2,3
1148,3,8,3,2,3
1147,5,2,3,2,3
1146,5,8,3,2,3
1145,3,8,3,2,3
1144,3,8,3,2,3
1143,5,8,3,2,3
1142,1,8,3,2,3
1141,2,8,3,2,3
1140,1,8,3,2,3
1139,3,2,3,2,3
1138,1,8,2,2,3
1137,1,8,3,2,3
1136,17,8,3,2,3
1135,1,8,1,2,3
1134,1,8,1,2,3
1133,3,8,3,2,3
1132,1,8,1,2,3
1131,17,8,3,2,3
1129,1,8,3,2,3
1127,1,8,1,2,3
1126,17,8,3,2,3
1125,1,8,3,2,3
1124,17,8,3,2,3
1123,10,8,2,2,3
1122,8,8,2,2,3
1121,4,8,3,2,3
1120,1,8,3,2,3
1119,5,1,1,2,3
1117,4,8,3,2,3
1116,4,8,3,2,3
1115,4,8,3,2,3
1113,3,8,1,2,3
1111,4,8,3,2,3
1110,13,1,4,2,3
1109,5,1,1,2,3
1108,8,3,3,2,3
1107,5,4,3,2,3
1106,4,1,1,2,3
1105,5,2,3,2,3
1104,10,8,2,2,1
1103,4,8,1,2,1
1102,10,2,1,2,3
1101,10,3,1,2,1
1100,9,1,1,2,3
1099,3,8,1,2,3
1098,1,8,1,2,3
1097,1,8,3,2,3
1096,2,8,1,2,3
1092,37,8,5,2,1
1088,126,8,20,1,5
1087,85,8,8,2,1
1086,63,8,10,2,1
1085,49,8,8,2,3
1084,38,8,8,2,3
1083,28,8,8,2,3
1082,29,8,6,2,1
1081,43,8,7,2,1
1080,61,8,8,2,3
1079,68,8,8,2,1
1078,28,8,2,2,3
1077,19,8,3,2,3
1076,13,8,2,2,3
1075,17,8,4,2,1
1074,23,8,2,2,1
1073,19,8,3,2,3
1071,16,8,2,2,3
1070,8,8,3,2,3
1069,4,8,3,2,3
1066,406,8,44,2,16
1065,391,8,48,2,12
1064,460,8,58,2,17
1063,107,14,9,2,3
1062,416,8,43,2,11
1060,84,5,6,2,1
1059,67,17,10,2,1
1057,74,6,14,2,3
1056,48,8,8,2,3
1055,68,8,11,2,3
1054,37,8,6,2,3
1053,42,8,14,2,3
1052,33,8,4,2,1
1050,7,8,3,2,3
1049,5,8,1,2,3
1048,5,8,2,2,1
1047,4,8,3,2,1
1046,1,8,3,2,3
1045,1,8,1,2,3
1044,1,8,3,2,3
1043,3,8,3,2,3
1042,5,8,3,2,3
1041,8,8,3,2,3
1040,1,8,3,2,3
1039,1,8,1,2,3
1038,17,8,3,2,3
1037,1,8,3,2,3
1036,1,8,3,2,3
1035,1,8,3,2,3
1034,2,8,3,2,3
1033,23,8,5,2,3
1032,27,8,7,2,3
1031,27,8,4,2,3
1030,17,8,2,2,3
1029,6,8,3,2,3
1028,8,8,1,2,3
1026,16,8,3,2,3
1025,15,8,3,2,3
1024,5,8,2,2,3
1023,3,8,1,2,3
1022,5,8,1,2,3
1021,1,8,3,2,3
1020,2,8,3,2,3
1019,1,8,3,2,3
1018,2,8,3,2,3
1017,2,8,3,2,3
1016,2,8,3,2,3
1015,2,8,3,2,3
1014,3,8,3,2,3
1013,2,8,3,2,3
1012,2,8,3,2,3
1011,1,8,3,2,3
1010,3,8,3,2,3
1009,1,8,3,2,3
1008,1,8,3,2,3
1007,12,3,3,2,3
1006,33,16,4,2,3
1005,1,8,1,2,3
1004,3,8,1,2,3
1003,4,8,1,2,3
1002,4,8,1,2,3
1001,4,8,3,2,3
1000,2,8,3,2,3
999,17,8,3,2,3
998,1,8,1,2,3
997,21,8,5,2,1
996,9,8,1,2,1
995,3,8,3,2,3
994,2,8,3,2,3
993,2,8,3,2,3
992,3,8,3,2,3
991,1,8,3,2,3
990,17,8,3,2,3
987,3,8,1,2,3
985,4,8,3,2,3
984,20,7,1,2,3
983,14,7,2,2,3
982,3,8,1,2,3
981,17,8,3,2,3
979,64,32,2,2,3
978,5,8,3,2,3
977,2,8,3,2,3
976,1,8,3,2,3
975,1,8,3,2,3
974,1,8,3,2,3
973,2,8,1,2,3
972,10,2,2,2,3
971,1,8,3,2,3
970,17,8,3,2,3
969,1,8,3,2,3
968,1,8,3,2,3
966,1,8,3,2,3
965,1,8,3,2,3
